age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
39,8,77516,13,5,2,2,1,1,2174,0,40,40,0
50,7,83311,13,3,5,1,1,1,0,0,13,40,0
38,5,215646,9,1,7,2,1,1,0,0,40,40,0
53,5,234721,7,3,7,1,0,1,0,0,40,40,0
28,5,338409,13,3,11,6,0,0,0,0,40,6,0
37,5,284582,14,3,5,6,1,0,0,0,40,40,0
49,5,160187,5,4,9,2,0,0,0,0,16,24,0
52,7,209642,9,3,5,1,1,1,0,0,45,40,1
31,5,45781,14,5,11,2,1,0,14084,0,50,40,1
42,5,159449,13,3,5,1,1,1,5178,0,40,40,1
37,5,280464,10,3,5,1,0,1,0,0,80,40,1
30,8,141297,13,3,11,1,0,1,0,0,40,20,1
23,5,122272,13,5,2,4,1,0,0,0,30,40,0
32,5,205019,12,5,13,2,0,1,0,0,50,40,0
40,5,121772,11,3,4,1,0,1,0,0,40,1,1
34,5,245487,4,3,15,1,0,1,0,0,45,27,0
25,7,176756,9,5,6,4,1,1,0,0,35,40,0
32,5,186824,9,5,8,5,1,1,0,0,40,40,0
38,5,28887,7,3,13,1,1,1,0,0,50,40,0
43,7,292175,14,1,5,5,1,0,0,0,45,40,1
40,5,193524,16,3,11,1,1,1,0,0,60,40,1
54,5,302146,9,6,9,5,0,0,0,0,20,40,0
35,2,76845,5,3,6,1,0,1,0,0,40,40,0
43,5,117037,7,3,15,1,1,1,0,2042,40,40,0
59,5,109015,9,1,14,5,1,0,0,0,40,40,0
56,3,216851,13,3,14,1,1,1,0,0,40,40,1
19,5,168294,9,5,4,4,1,1,0,0,40,40,0
54,1,180211,10,3,1,1,0,1,0,0,60,36,1
39,5,367260,9,1,5,2,1,1,0,0,80,40,0
49,5,193366,9,3,4,1,1,1,0,0,40,40,0
23,3,190709,12,5,12,2,1,1,0,0,52,40,0
20,5,266015,10,5,13,4,0,1,0,0,44,40,0
45,5,386940,13,1,5,4,1,1,0,1408,40,40,0
30,2,59951,10,3,2,4,1,1,0,0,40,40,0
22,8,311512,10,3,9,1,0,1,0,0,15,40,0
48,5,242406,7,5,8,5,1,1,0,0,40,34,0
21,5,197200,10,5,8,4,1,1,0,0,40,40,0
19,5,544091,9,2,2,6,1,0,0,0,25,40,0
31,5,84154,10,3,13,1,1,1,0,0,38,1,1
48,7,265477,12,3,11,1,1,1,0,0,40,40,0
31,5,507875,5,3,8,1,1,1,0,0,43,40,0
53,7,88506,13,3,11,1,1,1,0,0,40,40,0
24,5,172987,13,3,14,1,1,1,0,0,50,40,0
49,5,94638,9,6,2,5,1,0,0,0,40,40,0
25,5,289980,9,5,7,2,1,1,0,0,35,40,0
57,2,337895,13,3,11,1,0,1,0,0,40,40,1
53,5,144361,9,3,8,1,1,1,0,0,38,40,0
44,5,128354,14,1,5,5,1,0,0,0,40,40,0
41,8,101603,11,3,4,1,1,1,0,0,40,40,0
29,5,271466,11,5,11,2,1,1,0,0,43,40,0
25,5,32275,10,3,5,6,0,0,0,0,40,40,0
18,5,226956,9,5,9,4,1,0,0,0,30,1,0
47,5,51835,15,3,11,6,1,0,0,1902,60,17,1
50,2,251585,13,1,5,2,1,1,0,0,55,40,1
47,6,109832,9,1,5,2,1,1,0,0,60,40,0
43,5,237993,10,3,14,1,1,1,0,0,40,40,1
46,5,216666,3,3,8,1,1,1,0,0,40,27,0
35,5,56352,11,3,9,1,1,1,0,0,40,34,0
41,5,147372,9,3,2,1,1,1,0,0,48,40,0
30,5,188146,9,3,8,1,1,1,5013,0,40,40,0
30,5,59496,13,3,13,1,1,1,2407,0,40,40,0
